non_occluded_path,occluded_path,emotion_class,dataset_source,split
KDEF\KDEF_Sorted_Resized\afraid\AF08AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF08AFHR.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Fernando_Gonzalez_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Fernando_Gonzalez_0001_mask.png,afraid,LFW,train
RAFDB\RAF-DB\train\2_fear\train_09348_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09348_aligned.jpg,afraid,RAFDB,train
RAFDB\RAF-DB\train\2_fear\train_09210_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09210_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\eval\negative\Yoon_Jeong_Cho_0001.jpg,LFW\M-LFW-FER-masks\eval\negative\Yoon_Jeong_Cho_0001_mask.png,afraid,LFW,train
RAFDB\RAF-DB\train\2_fear\train_09291_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09291_aligned.jpg,afraid,RAFDB,train
AffectNet\fear\image0039812.jpg,AffectNet\fear\image0039812.jpg,afraid,AffectNet,train
AffectNet\fear\image0004512.jpg,AffectNet\fear\image0004512.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM01AFHL.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM01AFHL.jpg,afraid,KDEF,train
AffectNet\fear\image0038541.jpg,AffectNet\fear\image0038541.jpg,afraid,AffectNet,train
AffectNet\fear\image0034124.jpg,AffectNet\fear\image0034124.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AM13AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM13AFS.jpg,afraid,KDEF,train
KDEF\KDEF_Sorted_Resized\afraid\AF20AFS.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF20AFS.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Martha_Martinez_Flores_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Martha_Martinez_Flores_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0032605.jpg,AffectNet\fear\image0032605.jpg,afraid,AffectNet,train
KDEF\KDEF_Sorted_Resized\afraid\AF30AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AF30AFHR.jpg,afraid,KDEF,train
LFW\M-LFW-FER\train\negative\Joe_Finley_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Joe_Finley_0001_mask.png,afraid,LFW,train
AffectNet\fear\image0039769.jpg,AffectNet\fear\image0039769.jpg,afraid,AffectNet,train
AffectNet\fear\image0034129.jpg,AffectNet\fear\image0034129.jpg,afraid,AffectNet,train
RAFDB\RAF-DB\train\2_fear\train_09243_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09243_aligned.jpg,afraid,RAFDB,train
RAFDB\RAF-DB\train\2_fear\train_09296_aligned.png,RAFDB\RAF-DB_Occluded\train\2_fear\hands\img\train_09296_aligned.jpg,afraid,RAFDB,train
LFW\M-LFW-FER\train\negative\Junichi_Inamoto_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Junichi_Inamoto_0001_mask.png,afraid,LFW,train
KDEF\KDEF_Sorted_Resized\afraid\AM17AFHR.jpg,KDEF\KDEF_Sorted_Occluded\afraid\img\AM17AFHR.jpg,afraid,KDEF,train
